source,author,title,description,url,url_to_image,published_at,content,category,full_content
TheJournal.ie,The Journal team,LIVEBLOG: Israel to impose 'complete siege' on Gaza as EU set to hold emergency talks,The EU has strongly condemned the unprecedented attack by the Islamist militants that has sparked a barrage of strikes by Israel on Gaza.,https://www.thejournal.ie/israel-hamas-liveblog-6190588-Oct2023/,https://img2.thejournal.ie/article/6190588/river/?height=400&version=6190609,2023-10-09 13:12:27.000000,"The death toll from this round of violence since Saturday has been increasing, with the latest figure placed at over 1,200 people. 
The a surprise attack on Israel by the Palestinian militant group … [+699 chars]",Nepal,
NPR,Allison Aubrey,"Worldwide, women cook twice as much as men: One country bucks the trend","A new gallop survey finds the gender gap in home cooking has widened. Globally, women cook an average of 9 meals per week, compared to 4 meals for men. And some countries have bigger gaps than others.",https://www.npr.org/sections/health-shots/2023/10/30/1209473449/worldwide-women-cook-twice-as-much-as-men-one-country-bucks-the-trend,https://media.npr.org/assets/img/2023/10/30/gettyimages-1453296110_wide-1439d4dbf9cb1888701ec5102757748470d65d2c-s1400-c100.jpg,2023-10-30 20:41:27.000000,"Worldwide, women cook nearly 9 meals a week on average, while men cook only 4, according to a new survey.
Penpak Ngamsathain/Getty Images
A new survey finds the gender gap in 'home cooking' has wid… [+1953 chars]",Nepal,"Worldwide, women cook nearly nine meals a week on average, while men cook only four, according to a new survey.Penpak Ngamsathain/Getty Imageshide caption Worldwide, women cook nearly nine meals a week on average, while men cook only four, according to a new survey. A new survey finds the gender gap in 'home cooking' has widened, with women cooking more meals than men in nearly every country worldwide. Women cooked just under nine meals per week, on average, in 2022. Men cooked about four per week. These are the results of an annualsurvey by Gallup and Cookpad, which tracks how often people prepare and eat home-cooked meals in countries around the globe. When the survey began in 2018, traditional gender roles were well established, but during the pandemic years the survey results showed that men were cooking more. This narrowed the gender gap, explains Andrew Dugan, a research director at Gallup, who has worked on the survey since it began. ""Every year since the study started, the gap narrowed,"" he says. Until now. The latest results, which Duggan says come as a surprise, point to a reversal of this trend. In 2022, women continued to cook at about the same frequency, but men started to cook less. On average, men cooked a little less than one fewer meal per week. ""It's the first year that the gap actually widened,"" Dugan says, pointing out that the gap has reverted back to its starting point in 2018. ""What it might suggest is [that] the traditional gender roles are starting to reassert themselves,"" Dugan says. The gender gap varies by country. In the United States, women cook about two more meals per week on average, than men.  The survey report graphs the countries with the largest gender gaps, including Ethiopia, Tajikistan, Egypt, Nepal and Yemen, where women are making about eight more meals per week than men. The countries with the smallest gender differences in cooking are clustered in Europe, including Spain, the UK, Switzerland, France, and Ireland. There's only one country where men actually cook more than women. Wait for it..... Italy.  ""This is a surprise,"" Dugan says. It's not clear why Italy bucked the trend,  or why the gender gap widened in all the other countries including the U.S., but chef Mike Friedman, who operates several restaurants in the Washington D.C. area, has his take. ""I think woman can handle more on their plate,"" he says. In the U.S.,  where women cook about two more meals per week than men, Friedman thinks the survey may not capture the whole picture. He says in his house, lots of meals  are collaborations. ""I know in my own home my wife does a lot of the cooking. But we talk about it and we talk through 'what should we make tonight?' And a lot of times she'll start and I'll finish and then I'm always left with the dishes,"" Friedman says. That got us thinking: How do you divide meal prep in your household and who does the lion's share? Are there any tensions in your household about who makes dinner, and how did you resolve them? Send us an e-mail, to Shots@npr.org This story was edited by Jane Greenhalgh"
Thehillstimes.in,The Hills Times,Nepal wants to develop cordial and friendly relations not only with India and China but with all others: Foreign Minister Saud,"Kathmandu, Oct 5 (PTI) Nepal wants to develop cordial and friendly relations not only with India and China but also with all other countries in the world, including the US, on the basis of mutual benefits, Foreign Minister Narayan Prakash Saud has said. Saud,…",https://thehillstimes.in/assam/nepal-wants-to-develop-cordial-and-friendly-relations-not-only-with-india-and-china-but-with-all-others-foreign-minister-saud,,2023-10-05 19:38:53.000000,"Kathmandu, Oct 5 (PTI) Nepal wants to develop cordial and friendly relations not only with India andChina but also with all other countries in the world, including the US, on the basis of mutual bene… [+5671 chars]",Nepal,
Foreign Policy,Michael Kugelman,The India-Canada Rift Deepens,New flash points in the crisis have emerged—with no offramps in sight.,https://foreignpolicy.com/2023/10/25/india-canada-rift-trudeau-modi-sikh-separatists-diplomats/,https://foreignpolicy.com/wp-content/uploads/2023/10/trudeau-modi-india-canada-GettyImages-923276694.jpg?w=1000,2023-10-26 00:00:50.000000,"Welcome to Foreign Policys South Asia Brief.Welcome to Foreign Policys South Asia Brief.
The highlights this week: The India-Canada crisis rages on, Afghanistan pulls off a major upset at the Cricke… [+10224 chars]",Nepal,
ABC News,The Associated Press,AP Week in Pictures: Asia,"Oct. 6-13, 2023

Indians in traditional attire pose as they practice the Garba, a traditional dance of Gujarat state, ahead of the Navratri festival in Ahmedabad, India. Students light candles in Nepal as they pay tribute to Nepali nationals who lost their li…",https://abcnews.go.com/International/wireStory/ap-week-pictures-asia-103949290,https://i.abcnewsfe.com/a/5ac1ddb7-358d-416f-b9d6-5410a8019e18/wirestory_2985da6436af2caa60ce6096e5a2db36_16x9.jpg?w=992,2023-10-13 04:14:58.000000,"Oct. 6-13, 2023
Indians in traditional attire pose as they practice the Garba, a traditional dance of Gujarat state, ahead of the Navratri festival in Ahmedabad, India. Students light candles in Nep… [+545 chars]",Nepal,"Oct. 6-13, 2023 Indians in traditional attire pose as they practice the Garba, a traditional dance of Gujarat state, ahead of the Navratri festival in Ahmedabad, India. Students light candles in Nepal as they pay tribute to Nepali nationals who lost their lives in the fighting in Israel. Artists perform during the closing ceremony of the Asian Games in Hangzhou, China. This photo gallery highlights some of the most compelling images in Asia made or published by The Associated Press in the past week. The selection was curated by AP photo editor Shuji Kajiyama in Tokyo. Follow AP visual journalism: Instagram: https://www.instagram.com/apnews AP Images onTwitter: http://twitter.com/AP_Images AP Images blog: http://apimagesblog.com"
CBS News,Arshad R. Zargar,Deaths mount from flash floods scientists had warned about for years,Scientists have warned for decades that India's Himalayan glacial lakes are disasters waiting to happen. Climate change means they aren't waiting any more.,https://www.cbsnews.com/news/india-flood-sikkim-flash-flooding-deaths-himalaya-glaciers-climate-change/,https://assets3.cbsnewsstatic.com/hub/i/r/2023/10/06/0fdc2ea3-3bb3-4fa4-9a80-fca2a63e336d/thumbnail/1200x630/573aa01919654cbe6987f5f11700e372/india-sikkim-glaciers-flooding.jpg?v=f334c339940ae79342a8ce7757900604,2023-10-06 12:58:20.000000,"New Delhi — The death toll from devastating flash floods unleashed by a glacial lake bursting its banks in India's ecologically sensitive Himalayan region shot up to 40 on Friday, government official… [+4106 chars]",Nepal,
Aajtak.in,aajtak.in,"भूकंप के छोटे-छोटे झटके, क्या किसी बड़े खतरे का इशारा? समझिए","मंगलवार को नेपाल से दिल्ली तक भूकंप के झटकों के बाद अफरातफरी और खौफ का आलम दिखा. धरती का अध्ययन करने वाले वैज्ञानिकों का मानना है कि छोटे-छोटे और बार-बार भूकंप के झटके बड़ी तबाही का संकेत देतें हैं. इन झटकों से पता चलता है कि धरती के अंदर बन रही एनर्जी, पूरी …",https://www.aajtak.in/india/news/video/delhi-nepal-earthquake-small-tremors-indict-major-fatality-in-future-expalin-geologist-1792388-2023-10-04,https://akm-img-a-in.tosshub.com/aajtak/images/video/202310/earthquake_1-sixteen_nine.png,2023-10-04 11:40:12.000000,". - - . , . 
 There was chaos and fear after earthquake tremors from Nepal to Delhi on Tuesday. Scientists who study the Earth believe that small and frequent earthquakes indicate major destruction.… [+115 chars]",Nepal,
Skift,Skift,Skift India Report: Airfares Set to Go Up as Indigo Levies Fuel Charge,India's largest airline has introduced a distance-dependent fuel surcharge and other airlines are expected to follow suit. Doubt that will have much effect on India's consistently growing aviation sector. -Peden Doma Bhutia,https://skift.com/2023/10/09/indigo-introduces-distance-based-fuel-charge-amid-rising-atf-prices/,https://skift.com/wp-content/uploads/2023/06/Indigo.jpg,2023-10-10 03:00:00.000000,"Low-cost carrier Indigo has now introduced a distance-based fuel charge on domestic and international routes.
Why This Fare Hike? The decision follows the significant increase in Aviation Turbine Fu… [+8275 chars]",Nepal,
ABC News (AU),Jenny Cai,India's top court declines to legally recognise same-sex marriage,"India's top court says it cannot legalise same-sex marriages, with the chief justice of the country saying making such a law is the domain of parliament.",https://www.abc.net.au/news/2023-10-17/india-same-sex-marriage-judgment/102985630,https://live-production.wcms.abc-cdn.net.au/2c17e570dda28358999f75bc03ecca95?impolicy=wcms_crop_resize&cropH=2814&cropW=5002&xPos=0&yPos=360&width=862&height=485,2023-10-17 10:08:31.000000,"Indias top court has refused to legalise same-sex marriages, with the chief justice of the country saying it was up to parliament to create such a law.  
Key points:
<ul><li>The Supreme Court heard… [+4912 chars]",Nepal,
The Times of Israel,,"Thai foreign minister travels to Qatar, Egypt for talks on hostages held by Hamas","Parnpree Bahiddha-Nukara to discuss situation of 22 of his country's nationals who were abducted from Israel to Gaza during terror group's onslaught
The post Thai foreign minister travels to Qatar, Egypt for talks on hostages held by Hamas appeared first on T…",https://www.timesofisrael.com/thai-foreign-minister-travels-to-qatar-egypt-for-talks-on-hostages-held-by-hamas/,https://static.timesofisrael.com/www/uploads/2023/10/AP23248331538653-e1698748149199-1024x640.jpg,2023-10-31 12:40:59.000000,"Thailand’s foreign minister began an urgent visit to Qatar and Egypt on Tuesday for talks on the fate of the Thais taken hostage by Hamas in its devastating attack on Israel earlier this month, when … [+3144 chars]",Nepal,
Globalsecurity.org,John Pike,Washington says 9 US citizens killed in Hamas operation against Israel,Washington says nine US citizens were killed and a certain number have gone missing in the wake of the surprise major operation by the Palestinian resistance movement Hamas against Israel.,https://www.globalsecurity.org/military/library/news/2023/10/mil-231009-presstv06.htm,,2023-10-10 08:50:40.000000,"Iran Press TV
Monday, 09 October 2023 5:29 PM
Washington says nine US citizens were killed and a certain number have gone missing in the wake of the surprise major operation by the Palestinian resi… [+1373 chars]",Nepal," Iran Press TV Monday, 09 October 2023 5:29 PM Washington says nine US citizens were killed and a certain number have gone missing in the wake of the surprise major operation by the Palestinian resistance movement Hamas against Israel. US State Department spokesman Matthew Miller said in a statement Monday, ""At this time, we can confirm the deaths of nine US citizens."" He said there are ""unaccounted-for US citizens, and we are working with our Israeli partners to determine their whereabouts."" Meanwhile the BBC reported on Monday that more than 10 Britons are also feared dead or missing in the occupied territories. UK Foreign Secretary James Cleverly said he would not speculate on the number of British or dual nationals in the region. France also said two of its nationals have been killed. A lawmaker representing French nationals overseas, Meyer Habib, said on Monday that ""at least eight"" French people had been killed, captured or were missing. Dozens of other nationals have also been reportedly killed, including people from Thailand, Nepal, Ukraine, France, Canada and Cambodia. Hamas launched Operation al-Aqsa Storm on Saturday. It has been without precedent in scale. Israeli media outlets say more than 800 settlers and troops have been killed as a result of the operation. Some 2,560 Israelis have also been injured. Israel on Monday stepped up attacks on the Gaza Strip and imposed a total siege on the densely populated enclave.  "
NDTV News,,"Operation Ajay: 5th Flight Bring Back 286 Indians, 18 Nepalese From Israel",The fifth flight carrying 286 Indian nationals including 18 citizens of Nepal arrived in New Delhi late on Tuesday night.,https://www.ndtv.com/world-news/operation-ajay-5th-flight-carrying-286-indians-18-nepalese-arrives-in-delhi-4491023,https://c.ndtvimg.com/2023-10/h8g90mcg_operation-ajay-5th-flight_625x300_18_October_23.jpg,2023-10-18 00:07:40.000000,"The passengers were received by Union Minister of State L Murugan at Delhi airport.
New Delhi:  The fifth flight carrying 286 Indian nationals including 18 citizens of Nepal arrived in New Delhi lat… [+4367 chars]",Nepal,
NDTV News,,"Many Along India, Nepal Border In Uttarakhand Found Having Dual Citizenship","Several people living along the international border in Pithoragarh and Champawat districts of Uttarakhand have dual citizenship of India and Nepal, and such people are being identified, an official said.",https://www.ndtv.com/india-news/several-people-in-uttarakhand-found-to-have-dual-citizenship-of-india-nepal-4510320,https://c.ndtvimg.com/2022-04/5fg8a02g_passport_625x300_08_April_22.jpg,2023-10-24 15:11:25.000000,"Some people along Nepal border in Uttarakhand found with dual citizenship of India and Nepal
Pithoragarh: Several people living along the international border in Pithoragarh and Champawat districts … [+1803 chars]",Nepal,
CNN,"Lianne Kolirin, Issy Ronald",'I don't really have any other choice': Young Israelis around the world return home after Hamas attacks,"When he heard that Hamas militants were attacking a music festival his family was attending, Ben Ovadia said Kaddish, the Jewish prayer for the dead, for his mother.",https://www.cnn.com/2023/10/12/world/israelis-returning-home-hamas-attack-intl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/231012095718-returning-israelis-101023.jpg?c=16x9&q=w_800,c_fill",2023-10-12 12:31:39.000000,"When he heard that Hamas militants were attacking a music festival his family was attending, Ben Ovadia said Kaddish, the Jewish prayer for the dead, for his mother.
I didnt know what to do. I said … [+7166 chars]",Nepal,"When he heard that Hamasmilitantswereattacking a music festivalhis family was attending, Ben said Kaddish, the Jewish prayer for the dead, for his mother. “I didn’t know what to do. I said please kill her because it would be better than being kidnapped,” Ben, whose surname CNN is not using for security concerns, said on Wednesday. “It’s a nightmare. I said ‘please kill her, don’t take her there.’” Over WhatsApp, he watched, helpless, as his mother and younger brother sent updates for eight hours, telling him that they were hiding in small bushes, hearing gunfire and people walking past saying “Allahu Akbar.” “(Every message) took about two minutes to arrive and in between there was no communication,” he said. “Every two minutes you are tearing your hair out to get an answer.” Israel is at war with Hamas. Here's what to know Eventually, Ben heard of a secure location, sent the map to his brother and they managed to escape from the festival. The next morning, Ben flew to Israel from London where he lives with his British wife and children. He is one ofmanyIsraelis returning home from abroad as their country’slong-running conflict with Hamas escalates into a warnot seen on this scale for a generation. To cope with the increasing demand, Israeli airlines El Al, Israir and Arkia added more flights on Tuesday to repatriate military reservists,Reuters reported. Cutting short holidays or uprooting their everyday lives overseas, these Israelis are returning for funerals, in preparation for being called up into the military reserves, carrying supplies back with them, or to help protect their communities. At least 1,200 people have been killed in Israel followingHamas’ deadly and brutal attackon October 7 when its militants broke through the heavily fortified border from Gaza, leaving atrocities in their wake. Gaza crisis grows under intense bombardment as Israel retaliates to Hamas atrocities Israel has responded byhammering Gazawith airstrikes and halting supplies of electricity, food, water and fuel to the Palestinian enclave. At least 1,417 people have been killed in Gaza in the days since, according to the Palestinian Ministry of Health, and the enclave’s onlypower station ran out of fuelon Wednesday. Straight after seeing his family when he landed in Israel, Ben went to Lod, a city about nine miles southeast of Tel Aviv, where there had previously been outbursts of violence. There he joined friends in forming an impromptu neighborhood watch, to ensure the situation remained calm. He has since helped to deliver donated food and is planning to drive to the south of the country as there aren’t enough drivers to take people to their families. “At least there’s something that I can do,” he said. “I couldn’t stay in London and just watch it all happening on TV.” Another returning Israeli is 30-year-old Guy, who works in cybersecurity and has lived in London for the last five years. CNN is not using his surname for safety reasons. Guy traveled back to Israel on Wednesday after learning that six of his friends were missing after attending the Supernova music festival. Two of the group have since been confirmed dead. He told CNN that he is returning to be a military reservist, and for the funerals of his friends, who were part of a “close circle” that often went to trance music festivals, like Supernova, alongside Palestinians too. “The generation born since the Yom Kippur War have never seen anything like this,” he said. “They have had the opportunity to believe in peace and the two-state solution… we grew up with that… The people that go to these festivals participate as citizens of the world who essentially just want to celebrate life.” In Israel, 'the place where you want your kids to grow up' has suddenly turned into the front line Israel has called up 300,000 reservists to fight for its military, Israel Defense Forces (IDF) spokesperson, Maj. Doron Spielman told CNN Wednesday, a mobilization on the scale of a major country such as the United States, despite Israel’s relatively small population of 9.7 million, according to data from the Israeli Central Bureau of Statistics in April. “There’s not a family that does not have somebody that’s been called up. Or, unfortunately, since we’re such a small country, a family that does not have friends, or loved ones that are still missing,” Spielman told CNN. Though there are some exemptions, every Israeli citizen over the age of 18 is required to serve in the IDF. After finishing their service, many take lengthy trips overseas, a kind of post-service rite of passage. After completing his military service, 22-year-old Ben, who also asked to keep his family name confidential, had intended to explore Asia for several months. But heabandoned those planson Saturday when he learned of Hamas’ attack while in a mountain village in Nepal. He has since returned to Israel and is on standby to serve as a reservist in a reconnaissance unit. In a telephone call from Nepal on Monday, prior to his flight on Tuesday, Ben said he thought there were more than 100 Israelis in Kathmandu alone trying to return. “It feels really hard to be so far away and there isn’t much you can do,” he said. “You’re worried about the people there and all you do all day is watch the news and look at your phone. It’s impossible to be away right now.” Ilan Fisher, 29, is another Israeli expecting to be called up for reserve duty, he told CNN on Wednesday. He was on vacation in Melbourne, Australia on the day of Hamas’ attack, attending the wedding of two close Australian friends, both of whom also live in Israel. Though Fisher has had multiple offers to remain in Melbourne, he intends to fly back on Sunday and expects to be drafted back into the army’s media department. “Given the situation there right now, how dire it is and how dire it will be, I don’t really have another choice but to go back,” he said. Some Israelis are rushing back for other reasons. Rachel Gold, 27, had been on vacation in Toronto and had the idea of taking supplies back to Israel with her friend, Jessica Kane, who had been visiting her parents in New York. After putting out a call on social media, they raised $15,000 to buy supplies and flew back on Monday evening with two other friends, carrying 13 large check-in cases, four carry-on bags and several backpacks with them. The luggage was stuffed with supplies including head torches, flashlights, underwear, socks, toothbrushes, portable chargers, hydration pouches and protein bars. Kane, 26, told CNN that her family are religiously observant and so she did not hear of the attack until her father learned of it by word of mouth while in synagogue. “Initially I didn’t believe it. I thought it was being sensationalized,” she said. “We very quickly went on our phones. I had a few missed calls from the army and had a million red alert notifications about missiles falling. It was incredibly, incredibly difficult.” The friends were met at the airport on Tuesday by volunteers who immediately took the donations to deliver to the south of Israel. Gold is now on a military base in the south, having been recruited as a reservist. “Being here is a lot more comforting than being away,” she told CNN. “I felt desperately helpless just sitting at home watching the news and thinking what else I can do beyond sending money. Being here at least I feel part of it and taking action and doing things, plus I’m not glued to the news all day. Being here is a little bit less scary than being abroad.” CNN’s Niamh Kennedy and Abeer Salman contributed to this report."
Yourmileagemayvary.com,Your Mileage May Vary,A Sneaky Workaround For Using Squat Toilets,"The first time I encountered a squat toilet was the early-mid 1990s, when I went to Japan with a friend of mine named Teri. It was a very different experience…",https://yourmileagemayvary.com/2023/10/22/a-sneaky-workaround-for-using-squat-toilets/,https://yourmileagemayvary.com/wp-content/uploads/2019/05/Screen-Shot-2019-05-14-at-5.25.46-PM.png,2023-10-22 16:13:46.000000,"6KThe first time I encountered a squat toilet was the early-mid 1990s, when I went to Japan with a friend of mine named Teri. It was a very different experience for a Westerner to visit back then…the… [+3393 chars]",Nepal,
Thehillstimes.in,The Hills Times,254 Nepali students rescued from conflict-ridden Israel return home,"Kathmandu, Oct 13: A group of 254 Nepali students rescued from the strife-torn Israel and led by Foreign Minister N P Saud arrived in Kathmandu on Friday. A Nepal Airlines flight that took off from Israel’s Ben Gurion International Airport on Thursday landed …",https://thehillstimes.in/international/254-nepali-students-rescued-from-conflict-ridden-israel-return-home,https://thehillstimes.in/wp-content/uploads/2023/10/nepali.jpg,2023-10-13 19:10:26.000000,"Kathmandu, Oct 13: A group of 254 Nepali students rescued from the strife-torn Israel and led byForeign Minister N P Saud arrived in Kathmandu on Friday.A Nepal Airlines flight that took off from Isr… [+1757 chars]",Nepal,
BBC News,,All Blacks drop winger Telea over protocol breach,Mark Telea is dropped by New Zealand for Saturday's Rugby World Cup quarter-final with Ireland after breaking team protocol.,https://www.bbc.co.uk/sport/rugby-union/67096110,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/15C2/production/_131407550_inpho_02328163.jpg,2023-10-12 18:08:42.000000,"Mark Telea has scored three tries at the 2023 Rugby World Cup
<table><tr><th>2023 Rugby World Cup quarter-final: Ireland v New Zealand</th></tr>
<tr><td>Venue: Stade de France, Paris Date: Saturday… [+2262 chars]",New Zealand,
Biztoc.com,asia.nikkei.com,Nepal candidate for WHO post says neutrality on line in bitter contest,"BANGKOK -- The World Health Organization's accountability and transparency will be at stake when a closed-door session to elect a new director for its South-East Asia Regional Office begins this coming week, said one of the two candidates in the unusually con…",https://biztoc.com/x/70bee6401cfa4584,https://c.biztoc.com/p/70bee6401cfa4584/s.webp,2023-10-29 03:12:12.000000,BANGKOK -- The World Health Organization's accountability and transparency will be at stake when a closed-door session to elect a new director for its South-East Asia Regional Office begins this comi… [+114 chars],Nepal,
HuffPost,AP,Deaths Rise To 47 After Icy Flood Sweeps Through India's Himalayan Northeast,Rescuers in India have found more bodies as they dug through slushy debris and ice-cold water in a hunt for survivors after a glacial lake burst through a dam.,https://www.huffpost.com/entry/india-sikkim-floods-himalayas_n_6522f10fe4b09f4b8d408811,https://img.huffingtonpost.com/asset/6522f2ad230000320038c56d.jpeg?cache=EyPQ1C8dB9&ops=1200_630,2023-10-08 18:24:14.000000,"GANGTOK, India (AP) Rescuers found more bodies overnight as they dug through slushy debris and ice-cold water in a hunt for survivors after a glacial lake burst through a dam in Indias Himalayan nort… [+4139 chars]",Nepal,
NDTV News,,Tremors In Delhi As Nepal Hit By 2 Earthquakes: What We Know So Far,"According to the National Centre for Seismology, the earthquake occurred in Nepal around 2:51 PM at a depth of 5 kilometer.",https://www.ndtv.com/india-news/earthquake-in-delhi-noida-ghaziabad-gurgaon-india-uttarakhand-nepal-live-updates-what-we-know-so-far-4445381,https://i.ndtvimg.com/i/2017-09/earthquake-generic_650x400_71505899871.jpg,2023-10-03 09:44:19.000000,"Earthquake of magnitude 6.2 struck Nepal today (Representational)
New Delhi: An earthquake of magnitude 6.2 struck Nepal today, tremors of which were felt in many parts of India including Delhi-NCR.… [+1127 chars]",Nepal,
CNN,Reuters,Death toll from flash floods in Indian Himalayas climbs to 74 with at least 100 still missing,"The death toll from flash floods unleashed by a glacial lake bursting its banks in India's Himalayas climbed to 74 on Monday with 101 people still missing days after the calamity struck, according to provincial officials.",https://www.cnn.com/2023/10/09/asia/india-flood-sikkim-glacier-climate-intl/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/231009120942-04-india-floods-sikkim-100823.jpg?c=16x9&q=w_800,c_fill",2023-10-09 11:58:50.000000,"The death toll from flash floods unleashed by a glacial lake bursting its banks in Indias Himalayas climbed to 74 on Monday with 101 people still missing days after the calamity struck, according to … [+3161 chars]",Nepal,"The death toll from flash floodsunleashed by a glacial lake bursting its banksin India’s Himalayas climbed to 74 on Monday with 101 people still missing days after the calamity struck, according to provincial officials. Following days of torrential rain in the northeastern state of Sikkim, torrents of water swept down narrow river valleys from Lohnak Lake, in the northern part of the state, damaging a dam and wreaking destruction in villages and Rangpo town, about 50 km (30 miles) south of state capital Gangtok. Rescuers have found 25 bodies in the state and bodies of eight army personnel were found in the neighboring downstream state of West Bengal, Sikkim’s chief secretary Vijay Bhushan Pathak told Reuters. He said 101 people were still missing in the latest of a series of natural disasters caused by extreme weather events in the Himalayas. Fourteen army personnel were among the missing, a defense ministry statement said. The search for survivors was hampered by damaged roads, poor communications and bad weather, and residents were struggling to clear sludge and debris in the wake of one of the worst disasters in the remote region in more than 50 years. Parveen Shama, the top district official of Jalpaiguri in West Bengal, said 41 bodies were found in the district. Sikkim, a Buddhist state of 650,000 people wedged in the mountains between Nepal, Bhutan and China, received 101 millimeters (four inches) of rain in the first five days of October, more than double normal levels. Lhonak Lake is a large glacial bullet-shaped water body that sits at the foot of a melting glacier. An analysis of the images shows more than 60% of the water held in the lake drained out after the extreme rainstorm triggered aglacial lake outburst.This phenomenon happens when a glacial lake rises too high or the surrounding land or ice gives way and the lake bursts, sending water and debris rushing down mountains. Scientists have long studied Lhonak Lake, identifying it as one of the fastest swelling glacial lakes in the region with a high risk for a potential glacial outburst, according tomultiple studies. Mukesh Kumar, a 43-year-old migrant worker in Rangpo, described how he and his neighbors had barely 10 minutes to escape before the flash flood hit. “Had we not left for another two minutes, we might have drowned,” said Kumar, staring at the sludge and debris covering his lodgings. Residents told Reuters that many people whose dwellings were on the ground floor could not have survived. Baiju Sharma, 45, who ran a furniture business, surveyed the aftermath of the disaster. “Where you are standing is 15 feet (4.5 meters) higher than earlier. You are standing on his house,” Sharma said, pointing towards his neighbor. Government officials said about 2,000 tourists stuck in cut off areas of northern Sikkim were reported to be safe, and state authorities and the army had provided them with food and communication facilities to contact their families. Known as the rooftop of the world, the ecologically sensitive Himalayan region is prone to flash floods and landslides, and flooding is not unusual in Sikkim. But scientists are clear that extreme weather is becomingmore frequent and more intenseas the human-caused climate crisis accelerates. CNN’s Helen Regan, Akanksha Sharma and Sania Farooqui contributed reporting"
Biztoc.com,variety.com,‘The Creator’ Effects Team Breaks Down That Terrifying Tank Attack Sequence,"Gareth Edwards’ “The Creator” was a resourceful sci-fi endeavor with an $80 million production budget, but its visuals are on par with epic blockbusters that cost three times that amount. Rather than shoot on a studio backlot, the filmmaker behind “Godzilla” …",https://biztoc.com/x/a2cf9eacfccffe53,https://c.biztoc.com/p/a2cf9eacfccffe53/s.webp,2023-10-04 21:46:21.000000,"Gareth Edwards The Creator was a resourceful sci-fi endeavor with an $80 million production budget, but its visuals are on par with epic blockbusters that cost three times that amount. Rather than sh… [+283 chars]",Nepal,
BusinessLine,Reuters,Supreme Court declines to legalise same-sex marriage,"India's Supreme Court ruled that same-sex marriages cannot be legally recognised, with Chief Justice D.Y. Chandrachud saying it is the domain of parliament. Two of the five judges agreed with the ruling, while two more are yet to speak. The 2018 judgement had…",https://www.thehindubusinessline.com/news/supreme-court-declines-to-legalise-same-sex-marriage/article67429650.ece,https://bl-i.thgim.com/public/incoming/i0rleo/article66964082.ece/alternates/LANDSCAPE_1200/PTI04_18_2023_000070B.jpg,2023-10-17 07:23:25.000000,"New Delhi
Supreme Court on Tuesday said it cannot legalise same-sex marriages, with the chief justice of the country saying making such a law is the domain of parliament.
A five-judge bench headed … [+1043 chars]",Nepal,
NDTV News,,10 Nepali Students Killed In Hamas Attack In Israel,"As many as 10 Nepali students were confirmed dead in the ongoing terrorist attack by Hamas terror group in Israel, a Nepal Embassy official told ANI late on Sunday evening.",https://www.ndtv.com/world-news/10-nepali-students-killed-in-hamas-attack-in-israel-4462499,https://c.ndtvimg.com/2023-10/jk539d18_israel-palestine-war_625x300_08_October_23.jpg,2023-10-08 17:14:57.000000,"Kathmandu: As many as 10 Nepali students were confirmed dead in the ongoing terrorist attack by Hamas terror group in Israel, a Nepal Embassy official told ANI late on Sunday evening.
Talking over p… [+5773 chars]",Nepal,
NDTV News,,India Allows Export Of 10 Lakh Tonnes Of Non-Basmati Rice To 7 Countries,"The government today said it has permitted exports of 10,34,800 tonnes of non-basmati white rice to seven countries, including Nepal, Cameroon and Malaysia.",https://www.ndtv.com/business/india-allows-export-of-over-10-lakh-tonnes-of-non-basmati-white-rice-to-7-countries-4491837,https://c.ndtvimg.com/2022-09/ef2hqajo_rice-export-reuters_625x300_20_September_22.jpg,2023-10-18 08:07:59.000000,"Government has permitted exports of 10,34,800 tonnes of non-basmati white rice (Representational)
New Delhi: The government today said it has permitted exports of 10,34,800 tonnes of non-basmati whi… [+943 chars]",Nepal,
NDTV News,,Drug Lords Wanted In Maharashtra Arrested By UP Special Task Force,The Special Task Force of Uttar Pradesh Police on Tuesday arrested two men wanted in a drugs case in Maharashtra while trying to slip to Nepal.,https://www.ndtv.com/india-news/drug-lords-wanted-in-maharashtra-arrested-by-up-special-task-force-4469593,https://i.ndtvimg.com/i/2016-05/arrest-generic_650x400_71463458726.jpg,2023-10-10 22:32:47.000000,"Both were arrested by the STF in a joint operation with the Pune Crime Branch. (Representational)
Lucknow: The Special Task Force of Uttar Pradesh Police on Tuesday arrested two men wanted in a drug… [+1616 chars]",Nepal,
